"","sample","campaignid.x","family","unique.name","genus","full.name","species","maxn","campaignid.y","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","deployment","cluster","notes"
"59","13","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"60","13","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",9,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"61","13","2020-06_south-west_stereo-BRUVs","Monacanthidae","Monacanthidae Meuschenia flavolineata","Meuschenia","Meuschenia flavolineata","flavolineata",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"62","13","2020-06_south-west_stereo-BRUVs","Pomacentridae","Pomacentridae Parma bicolor","Parma","Parma bicolor","bicolor",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"63","13","2020-06_south-west_stereo-BRUVs","Serranidae","Serranidae Caesioperca rasor","Caesioperca","Caesioperca rasor","rasor",3,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"64","13","2020-06_south-west_stereo-BRUVs","Serranidae","Serranidae Epinephelides armatus","Epinephelides","Epinephelides armatus","armatus",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"65","13","2020-06_south-west_stereo-BRUVs","Serranidae","Serranidae Hypoplectrodes nigroruber","Hypoplectrodes","Hypoplectrodes nigroruber","nigroruber",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"66","13","2020-06_south-west_stereo-BRUVs","Triakidae","Triakidae Furgaleus macki","Furgaleus","Furgaleus macki","macki",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"67","13","2020-06_south-west_stereo-BRUVs","Urolophidae","Urolophidae Trygonoptera ovalis","Trygonoptera","Trygonoptera ovalis","ovalis",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"68","14","2020-06_south-west_stereo-BRUVs","Carcharhinidae","Carcharhinidae Carcharhinus brevipinna","Carcharhinus","Carcharhinus brevipinna","brevipinna",2,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"69","14","2020-06_south-west_stereo-BRUVs","Cheilodactylidae","Cheilodactylidae Nemadactylus valenciennesi","Nemadactylus","Nemadactylus valenciennesi","valenciennesi",2,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"70","14","2020-06_south-west_stereo-BRUVs","Glaucosomatidae","Glaucosomatidae Glaucosoma hebraicum","Glaucosoma","Glaucosoma hebraicum","hebraicum",3,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"71","14","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",6,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"72","14","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",8,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"73","14","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",5,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"74","14","2020-06_south-west_stereo-BRUVs","Pempherididae","Pempherididae Pempheris klunzingeri","Pempheris","Pempheris klunzingeri","klunzingeri",148,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"75","14","2020-06_south-west_stereo-BRUVs","Plesiopidae","Plesiopidae Trachinops noarlungae","Trachinops","Trachinops noarlungae","noarlungae",10,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"76","14","2020-06_south-west_stereo-BRUVs","Pomacentridae","Pomacentridae Chromis klunzingeri","Chromis","Chromis klunzingeri","klunzingeri",22,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"77","14","2020-06_south-west_stereo-BRUVs","Scorpididae","Scorpididae Neatypus obliquus","Neatypus","Neatypus obliquus","obliquus",5,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"78","14","2020-06_south-west_stereo-BRUVs","Scorpididae","Scorpididae Scorpis georgiana","Scorpis","Scorpis georgiana","georgiana",1,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"79","14","2020-06_south-west_stereo-BRUVs","Scorpididae","Scorpididae Tilodon sexfasciatus","Tilodon","Tilodon sexfasciatus","sexfasciatus",1,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"80","14","2020-06_south-west_stereo-BRUVs","Serranidae","Serranidae Caesioperca rasor","Caesioperca","Caesioperca rasor","rasor",3,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"81","14","2020-06_south-west_stereo-BRUVs","Serranidae","Serranidae Epinephelides armatus","Epinephelides","Epinephelides armatus","armatus",1,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"82","14","2020-06_south-west_stereo-BRUVs","Sparidae","Sparidae Chrysophrys auratus","Chrysophrys","Chrysophrys auratus","auratus",2,"2020-06_south-west_stereo-BRUVs",-34.128381,114.925457,20200602,"12:16","South-west","No-take",NA,35,"Hayley","Yes",NA,"Jun-20","nc","no"
"83","15","2020-06_south-west_stereo-BRUVs","Carangidae","Carangidae Pseudocaranx spp","Pseudocaranx","Pseudocaranx spp","spp",6,"2020-06_south-west_stereo-BRUVs",-34.125012,114.91032,20200602,"14:09","South-west","No-take",NA,43,"Hayley","Yes",NA,"Jun-20","nc","no"
