Longitude,Latitude,class,BRUVid,Sample
114.9163721,-34.06118897,Legacy,216,IO216
114.9188721,-34.06618897,Legacy,217,IO217
114.9213721,-34.07368897,Legacy,218,IO218
114.8338721,-34.05118897,Legacy,219,IO219
114.8438721,-34.05618897,Legacy,220,IO220
114.8363721,-34.06618897,Legacy,221,IO221
114.8313721,-34.06618897,Legacy,222,IO222
114.8463721,-34.07118897,Legacy,223,IO223
114.8388721,-34.06118897,Legacy,224,IO224
114.8338721,-34.07118897,Legacy,225,IO225
114.8438721,-34.06368897,Legacy,226,IO226
114.7838721,-33.99868897,MBH,227,IO227
114.7938721,-34.00368897,MBH,228,IO228
114.7863721,-33.99368897,MBH,229,IO229
114.4888721,-33.98618897,MBH,230,IO230
114.4988721,-33.99118897,MBH,231,IO231
114.4913721,-33.99618897,MBH,232,IO232
114.4938721,-33.98868897,MBH,233,IO233
114.4863721,-33.99368897,MBH,234,IO234
114.9138721,-34.06618897,Legacy,235,IO235
114.9238721,-34.08118897,Legacy,236,IO236
114.9363721,-34.08118897,Legacy,237,IO237
114.9288721,-34.08618897,Legacy,238,IO238
114.9313721,-34.09118897,Legacy,239,IO239
114.7813721,-34.00368897,MBH,240,IO240
114.7913721,-33.99368897,MBH,241,IO241
