"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","57.99533","Callanthiidae","Callanthias","allporti","check with todd",3,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","1.66133","Carangidae","Seriola","hippos",NA,2,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","44.41067","Cheilodactylidae","Nemadactylus","valenciennesi",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","6.66133","Glaucosomatidae","Glaucosoma","hebraicum",NA,2,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","21.57800","Heterodontidae","Heterodontus","portusjacksoni",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","10.66133","Labridae","Bodianus","frenchii",NA,2,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","0.35667","Labridae","Choerodon","rubescens",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","18.72133","Labridae","Coris","auricularis",NA,17,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","18.61067","Labridae","Notolabrus","parilus",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","51.40533","Labridae","Ophthalmolepis","lineolatus",NA,24,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","2.37733","Labridae","Pseudolabrus","biserialis",NA,7,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","54.21533","Monacanthidae","Meuschenia","flavolineata",NA,2,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","27.81800","Monacanthidae","Meuschenia","galii",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","0.00467","Pempherididae","Parapriacanthus","elongatus",NA,600,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","37.06733","Plesiopidae","Paraplesiops","meleagris",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","27.83267","Pomacentridae","Chromis","klunzingeri",NA,45,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","18.95067","Pomacentridae","Parma","bicolor",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","13.37667","Scorpaenidae","Scorpaena","sumptuosa",NA,2,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","44.07067","Scorpididae","Neatypus","obliquus",NA,2,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","48.38000","Scorpididae","Scorpis","aequipinnis","Check",2,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","4.16533","Scorpididae","Scorpis","georgiana",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","0.35667","Scorpididae","Tilodon","sexfasciatus",NA,2,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","1.58333","Serranidae","Epinephelides","armatus",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","39.16000","Serranidae","Hypoplectrodes","nigroruber",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","14.16267","Sparidae","Chrysophrys","auratus",NA,6,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","2.13733","Gerreidae","Parequula","melbournensis",NA,2,NA,"MBH","-34.119541","114.916105","20200602","11:45","South-west","No-take","c2","43.8","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","5.06400","Labridae","Austrolabrus","maculatus",NA,1,NA,"MBH","-34.119541","114.916105","20200602","11:45","South-west","No-take","c2","43.8","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","2.20800","Labridae","Coris","auricularis",NA,1,NA,"MBH","-34.119541","114.916105","20200602","11:45","South-west","No-take","c2","43.8","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","3.35733","Labridae","Eupetrichthys","angustipes",NA,1,NA,"MBH","-34.119541","114.916105","20200602","11:45","South-west","No-take","c2","43.8","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","29.57800","Labridae","Ophthalmolepis","lineolatus",NA,5,NA,"MBH","-34.119541","114.916105","20200602","11:45","South-west","No-take","c2","43.8","Hayley","Yes",NA,"National Park Zone",NA
