"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","0.35667","Scorpididae","Tilodon","sexfasciatus",NA,2,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","1.58333","Serranidae","Epinephelides","armatus",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","39.16000","Serranidae","Hypoplectrodes","nigroruber",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","14.16267","Sparidae","Chrysophrys","auratus",NA,6,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","2.13733","Gerreidae","Parequula","melbournensis",NA,2,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","5.06400","Labridae","Austrolabrus","maculatus",NA,1,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","2.20800","Labridae","Coris","auricularis",NA,1,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","3.35733","Labridae","Eupetrichthys","angustipes",NA,1,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","29.57800","Labridae","Ophthalmolepis","lineolatus",NA,5,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","13.86533","Labridae","Pseudolabrus","biserialis",NA,3,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","14.86467","Mullidae","Upeneichthys","vlamingii",NA,1,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","46.10533","Myliobatidae","Myliobatis","tenuicaudatus",NA,1,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","43.22000","Pomacentridae","Chromis","klunzingeri",NA,4,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","36.56533","Scorpididae","Neatypus","obliquus",NA,15,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","23.27667","Serranidae","Caesioperca","sp1",NA,11,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","09","09_L369.avi","1","32.86400","Trygonorrhinidae","Trygonorrhina","dumerilii",NA,1,"-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","10","10_L375.avi","1","3.74267","Batrachoididae","Batrachomoeus","rubricephalus",NA,1,"-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","10","10_L375.avi","1","4.78933","Carangidae","Pseudocaranx","spp",NA,2,"-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","10","10_L375.avi","1","48.56733","Cheilodactylidae","Nemadactylus","valenciennesi",NA,1,"-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","10","10_L375.avi","1","47.91467","Labridae","Achoerodus","gouldii",NA,1,"-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","10","10_L375.avi","1","40.46600","Labridae","Austrolabrus","maculatus",NA,1,"-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","10","10_L375.avi","1","40.96000","Labridae","Choerodon","rubescens",NA,1,"-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","10","10_L375.avi","1","19.35467","Labridae","Coris","auricularis",NA,9,"-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","10","10_L375.avi","1","21.39600","Labridae","Ophthalmolepis","lineolatus",NA,4,"-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","10","10_L375.avi","1","4.10733","Labridae","Pseudolabrus","biserialis",NA,10,"-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
