"campaignid","dataset","planned.or.exploratory","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO164","-34.03368897","114.9038721","20201016","07:14:00",NA,NA,NA,"44.1","Hayley","Yes","check calibration"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO184","-34.04118897","114.9038721","20201016","07:19:00",NA,NA,NA,"45.9","Hayley","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO165","-34.04368897","114.8988721","20201016","07:23:00",NA,NA,NA,"42.6","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO374","-33.98618897","114.7463721","20201015","07:31:00",NA,NA,NA,"72.9","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO361","-33.98868897","114.7413721","20201015","07:35:00",NA,NA,NA,"84.7","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO155","-34.04368897","114.8838721","20201016","07:42:00",NA,NA,NA,"41.9","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO325","-33.991557","114.743378","20201015","07:44:00",NA,NA,NA,"85","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","Captains pick","IOC06","-34.048689","114.876372","20201016","07:48:00",NA,NA,NA,"41.5","Ramesh","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO266","-34.02118897","114.7588721","20201015","08:06:00",NA,NA,NA,"67.3","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO327","-34.02946667","114.7623833","20201015","08:17:00",NA,NA,NA,"65.4","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO210","-34.09118897","114.8738721","20201016","10:09:00",NA,NA,NA,"43.5","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO17","-34.06368897","114.8763721","20201016","08:07:00",NA,NA,NA,"41.1",NA,NA,"No"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO334","-34.06155","114.7753667","20201015","10:11:00",NA,NA,NA,"64","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO267","-34.02618897","114.7638721","20201015","08:11:00",NA,NA,NA,"62.5",NA,NA,"No"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO312","-34.05868897","114.7788721","20201015","10:17:00",NA,NA,NA,"61.2","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO81","-34.09868897","114.8913721","20201016","10:20:00",NA,NA,NA,"42","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO158","-33.98118897","114.8188721","20201013","10:21:00",NA,NA,NA,"44.6","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO207","-34.06118897","114.7863721","20201015","10:23:00",NA,NA,NA,"60.4","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO145","-33.98618897","114.8238721","20201013","10:24:00",NA,NA,NA,"45.5","Hayley","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO91","-34.09368897","114.8938721","20201016","10:25:00",NA,NA,NA,"43.5","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO80","-34.09368897","114.8888721","20201016","10:30:00",NA,NA,NA,"41.6","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO335","-34.06686667","114.7939833","20201015","10:31:00",NA,NA,NA,"58","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO204","-34.06618897","114.7863721","20201015","10:35:00",NA,NA,NA,"61.5","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO3","-34.07618897","114.7838721","20201015","12:03:00",NA,NA,NA,"62","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH",NA,"FH32","-33.69618897","114.9463721","20201017","08:50:00",NA,NA,NA,"42.9",NA,NA,"No"
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO254","-34.01868897","114.6963721","20201029","08:51:00",NA,NA,NA,"129",NA,"No","No"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO239","-34.09118897","114.9313721","20201016","12:05:00",NA,NA,NA,"45.9","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH",NA,"FH36","-33.69868897","114.9338721","20201017","08:59:00",NA,NA,NA,"44.4",NA,"No","No"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO1","-34.07868897","114.7788721","20201015","12:07:00",NA,NA,NA,"64.6","Hayley","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO357","-34.08496667","114.928","20201016","12:08:00",NA,NA,NA,"45.9","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO237","-34.08118897","114.9363721","20201016","12:15:00",NA,NA,NA,"43.2","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","FH",NA,"FH54","-33.76618897","114.9388721","20201017","09:20:00",NA,NA,NA,"43.2",NA,NA,"No"
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO73","-34.02868897","114.8588721","20201019","09:22:00",NA,NA,NA,"40.4","Ramesh","Yes","No"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO4","-34.09118897","114.7813721","20201015","12:17:00",NA,NA,NA,"65.6","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO152","-33.98118897","114.8688721","20201013","12:18:00",NA,NA,NA,"41.2","Hayley","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO218","-34.07368897","114.9213721","20201016","12:28:00",NA,NA,NA,"46.8","Hayley","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO",NA,"IO344","-34.0844","114.6744","20201023","09:28:00",NA,NA,NA,"138",NA,NA,"No"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO215","-34.06868897","114.9263721","20201016","12:34:00",NA,NA,NA,"46.7","Hayley","Yes",NA
