"","campaignid","sample","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.reef","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","fov.facing.up","fov.limited","fov.open","mean.relief","sd.relief","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"64","2020-10_south-west_stereo-BRUVs","IO337",0,0,0,100,0,100,0,0,0,0,0,0,100,3,0,"IO","MBH",-34.00536667,114.8202333,20201019,"07:02:00","South-west","Fished","C.IO.21",43,"Daphne","Yes","CALs shit, come back","Special Purpose Zone (Mining Exclusion)",NA
"65","2020-10_south-west_stereo-BRUVs","IOREDO344",0,0,0,0,0,0,0,0,0,100,0,0,100,0.3,0.483045891539648,"IO","MBH",-34.0844,114.6744,20201123,"07:12","South-west","No-take","C.IO.14",138,"Daphne - finishes at 59:27","Yes","CALs shit, come back","National Park Zone",NA
"66","2020-10_south-west_stereo-BRUVs","IO269",0,4.16666666666667,0,87.5,0,100,0,8.33333333333333,0,0,0,0,100,2.79166666666667,0.414851116999053,"IO","MBH",-33.98868897,114.8138721,20201019,"07:18:00","South-west","Fished","C.IO.22",47.6,"Brooke Gibbons","Yes","Yes","Special Purpose Zone (Mining Exclusion)",NA
"67","2020-10_south-west_stereo-BRUVs","IO300",0,0,0,0,0,0,0,0,0,100,0,0,100,0.739130434782609,0.44897775854488,"IO","MBH",-34.08618897,114.6688721,20201123,"07:18","South-west","No-take","C.IO.14",138,"Brooke Gibbons","Yes","Yes","National Park Zone",NA
"68","2020-10_south-west_stereo-BRUVs","IO58",41.6666666666667,0,29.1666666666667,0,8.33333333333333,87.5000000000001,0,8.33333333333333,0,12.5,0,0,100,2,0.510753918455249,"IO","MBH",-34.13618897,114.7738721,20201022,"07:21:00","South-west","No-take","C.IO.69",92.7,"Brooke Gibbons","Yes","CALs shit, come back","National Park Zone",NA
"69","2020-10_south-west_stereo-BRUVs","IO343",0,0,0,0,0,12,0,12,0,88,0,0,100,0.64,1.113552872566,"IO","MBH",-34.10261667,114.6407167,20201123,"07:38","South-west","No-take","C.IO.15",140,"Rachel","Yes","Yes","National Park Zone",NA
"70","2020-10_south-west_stereo-BRUVs","IO62",0,0,7.14285714285714,0,0,7.14285714285714,0,0,0,92.8571428571429,0,0,100,0.642857142857143,0.826159598709403,"IO","MBH",-34.13368897,114.7663721,20201022,"07:45:00","South-west","No-take","C.IO.69",105,"Brooke Gibbons","Yes","Yes","National Park Zone",NA
"71","2020-10_south-west_stereo-BRUVs","IO282",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"IO","MBH",-34.14618897,114.5438721,20201029,"07:20:00","South-west","No-take","C.IO.18",146,NA,"No","No","National Park Zone",NA
"72","2020-10_south-west_stereo-BRUVs","IO278",0,0,0,0,0,4.34782608695652,0,4.34782608695652,0,95.6521739130435,0,0,100,0.91304347826087,0.596432079365658,"IO","MBH",-34.11118897,114.6388721,20201123,"07:45","South-west","No-take","C.IO.15",140,"Brooke Gibbons","Yes","Yes","National Park Zone",NA
"73","2020-10_south-west_stereo-BRUVs","IO277",0,0,0,0,12,24,0,12,0,76,0,12.5,87.5,1.36,0.99498743710662,"IO","MBH",-34.10618897,114.6463721,20201123,"07:53","South-west","No-take","C.IO.15",139,"Brooke Gibbons","Yes","Yes","National Park Zone",NA
