"campaignid","sample","slope","aspect","roughness","tpi"
"2020-10_south-west_stereo-BRUVs","IO117",0.0107556525617838,4.27850341796875,7,-0.375
"2020-10_south-west_stereo-BRUVs","IO363",0.0101205753162503,4.44100046157837,5,2.625
"2020-10_south-west_stereo-BRUVs","FH71",3.46944695195361e-18,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO59",0.0146584389731288,4.68153810501099,7,-0.5
"2020-10_south-west_stereo-BRUVs","IO276",0.00070618704194203,4.01747608184814,1,-0.125
"2020-10_south-west_stereo-BRUVs","IO153",0.00234934501349926,1.17564845085144,1,-0.5
"2020-10_south-west_stereo-BRUVs","IO377",0.00980951450765133,4.62006759643555,5,0.625
"2020-10_south-west_stereo-BRUVs","FH79",0.00146047258749604,5.90367269515991,1,-0.25
"2020-10_south-west_stereo-BRUVs","FH24",0.00107937178108841,1.57079637050629,2,0
"2020-10_south-west_stereo-BRUVs","IO130",0.000705598096828908,2.2664053440094,1,0.125
"2020-10_south-west_stereo-BRUVs","IO15",0.00211796816438437,4.0172438621521,1,-0.625
"2020-10_south-west_stereo-BRUVs","IO34",6.93889390390723e-18,4.71238899230957,0,0
"2020-10_south-west_stereo-BRUVs","IO326",0.0038194814696908,4.83105564117432,2,-0.125
"2020-10_south-west_stereo-BRUVs","IO96",0.00571997463703156,4.39065599441528,3,0.5
"2020-10_south-west_stereo-BRUVs","FH83",3.46944695195361e-18,4.71238899230957,0,0
"2020-10_south-west_stereo-BRUVs","IO365",0.0212931297719479,4.97002553939819,14,-0.375
"2020-10_south-west_stereo-BRUVs","FHCO1",6.93889390390723e-18,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO189",0.00141126895323396,5.40795469284058,2,-0.75
"2020-10_south-west_stereo-BRUVs","FH64",0.00281694810837507,4.01516771316528,2,0.5
"2020-10_south-west_stereo-BRUVs","IO75",0.00216798484325409,4.71238899230957,1,-0.375
"2020-10_south-west_stereo-BRUVs","IO74",0.00168760225642473,4.9836483001709,1,0.25
"2020-10_south-west_stereo-BRUVs","FH28",6.93889390390723e-18,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","FH46",0.00108059821650386,4.71238899230957,1,-0.875
"2020-10_south-west_stereo-BRUVs","IO299",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO66",3.46944695195361e-18,4.71238899230957,0,0
"2020-10_south-west_stereo-BRUVs","IO298",0.000706063990946859,5.40744733810425,1,-0.125
"2020-10_south-west_stereo-BRUVs","FH23",0.000705427082721144,5.40820026397705,2,0
"2020-10_south-west_stereo-BRUVs","IO199",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO195",3.46944695195361e-18,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO109",0.00234958110377192,4.31728315353394,2,-0.125
"2020-10_south-west_stereo-BRUVs","FH40",0.0021159490570426,4.0164475440979,1,-0.375
"2020-10_south-west_stereo-BRUVs","FH113",3.46944695195361e-18,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO311",0.0152861326932907,4.59379482269287,9,-0.625
