OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
FH18	4	1	655.74607	1008.47015	639.23610	925.09701
FH18	5	0	1704.45750	928.56716	1664.87933	893.73881
FH18	5	1	1839.77754	913.45522	1784.41763	876.94776
FH18	6	0	1706.44281	886.56716	1905.89717	848.28358
FH18	7	0	1415.48164	646.68657	1665.18993	576.64179
FH18	8	0	191.32949	844.39552	215.38825	754.69403
FH18	8	1	110.07030	867.90299	153.94019	780.55224
FH18	9	0	813.19727	928.19403	920.89822	855.24627
FH18	9	1	777.94019	929.20149	891.34942	855.91791
FH18	10	0	537.92235	816.04478	950.93389	745.52239
FH18	11	0	475.95698	1061.86567	792.94963	969.97761
